[2025-04-26 19:47:30] 19:47:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44608 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:30] 19:47:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44614 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:31] 19:47:31 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53082 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:31] 19:47:31 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53076 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:31] 19:47:31 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44628 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:32] 19:47:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53082 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:32] 19:47:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44632 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:33] 19:47:33 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44640 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:40] 19:47:40 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54614 -> 13.107.246.33:443 | SYN
[2025-04-26 19:47:40] 19:47:40 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54630 -> 13.107.246.33:443 | SYN
[2025-04-26 19:47:41] 19:47:41 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54614 -> 13.107.246.33:443 | SYN
[2025-04-26 19:47:41] 19:47:41 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54630 -> 13.107.246.33:443 | SYN
[2025-04-26 19:47:43] 19:47:43 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54614 -> 13.107.246.33:443 | SYN
[2025-04-26 19:47:43] 19:47:43 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54630 -> 13.107.246.33:443 | SYN
[2025-04-26 19:48:45] 19:48:45 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44016 -> 107.182.234.156:443 | SYN
[2025-04-26 19:48:55] 19:48:55 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:41826 -> 40.71.11.167:443 | SYN
[2025-04-26 19:52:45] 19:52:45 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53626 -> 13.107.246.33:443 | SYN
[2025-04-26 19:52:45] 19:52:45 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:55740 -> 107.182.234.156:443 | SYN
[2025-04-26 19:52:47] 19:52:47 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54536 -> 52.168.112.67:443 | SYN
[2025-04-26 19:53:55] 19:53:55 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:56714 -> 40.71.11.167:443 | SYN
[2025-04-26 19:56:50] 19:56:50 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34108 -> 107.182.234.156:443 | SYN
[2025-04-26 19:56:52] 19:56:52 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:39138 -> 52.168.112.67:443 | SYN
[2025-04-26 19:57:45] 19:57:45 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:56954 -> 13.107.246.33:443 | SYN
