[2025-04-28 19:37:35] 19:37:35 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60008 -> 89.58.44.75:443 | SYN
[2025-04-28 19:37:42] 19:37:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50610 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:42] 19:37:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50622 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:42] 19:37:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50638 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50638 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:39972 -> 172.217.172.36:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:39988 -> 172.217.172.36:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:39992 -> 172.217.172.36:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:39994 -> 172.217.172.36:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50646 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50648 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:43] 19:37:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50650 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:44] 19:37:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:40000 -> 172.217.172.36:443 | SYN
[2025-04-28 19:37:44] 19:37:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54982 -> 172.217.172.138:443 | SYN
[2025-04-28 19:37:45] 19:37:45 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54988 -> 172.217.172.138:443 | SYN
[2025-04-28 19:37:45] 19:37:45 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45354 -> 172.217.172.42:443 | SYN
[2025-04-28 19:37:45] 19:37:45 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:38876 -> 172.217.28.206:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50652 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:38252 -> 172.217.29.34:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:59180 -> 142.251.132.195:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33178 -> 157.249.81.141:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:36574 -> 13.107.246.33:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50668 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:59188 -> 142.251.132.195:443 | SYN
[2025-04-28 19:37:46] 19:37:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50682 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51252 -> 216.239.34.157:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45360 -> 172.217.172.42:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33178 -> 157.249.81.141:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51268 -> 216.239.34.157:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45366 -> 172.217.172.42:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:38882 -> 172.217.28.206:443 | SYN
[2025-04-28 19:37:47] 19:37:47 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60494 -> 172.217.28.206:443 | SYN
[2025-04-28 19:37:48] 19:37:48 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60494 -> 172.217.28.206:443 | SYN
[2025-04-28 19:37:49] 19:37:49 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:44622 -> 172.217.172.42:443 | SYN
[2025-04-28 19:37:49] 19:37:49 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60508 -> 172.217.28.206:443 | SYN
[2025-04-28 19:37:49] 19:37:49 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47734 -> 142.251.0.84:443 | SYN
[2025-04-28 19:37:50] 19:37:50 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47744 -> 142.251.0.84:443 | SYN
[2025-04-28 19:37:50] 19:37:50 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37740 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:50] 19:37:50 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:42180 -> 172.217.30.142:443 | SYN
[2025-04-28 19:37:50] 19:37:50 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37746 -> 146.112.41.2:443 | SYN
