[2025-04-23 12:12:34] eth:ethertype:ip:tcp 192.7.0.42:56234 -> 151.101.130.132:443 | Possível FIN
[2025-04-23 12:12:34] eth:ethertype:ip:tcp 192.7.0.42:37936 -> 35.244.159.8:443 | Possível FIN
[2025-04-23 12:12:34] eth:ethertype:ip:tcp 35.244.159.8:443 -> 192.7.0.42:37936 | Possível FIN
[2025-04-23 12:13:05] eth:ethertype:ip:tcp 192.7.0.42:49564 -> 89.58.44.75:443 | Possível FIN
[2025-04-23 12:13:05] eth:ethertype:ip:tcp 192.7.0.42:52842 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:13:05] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:52842 | Possível FIN
[2025-04-23 12:13:05] eth:ethertype:ip:tcp 89.58.44.75:443 -> 192.7.0.42:49564 | Possível FIN
[2025-04-23 12:13:06] eth:ethertype:ip:tcp 192.7.0.42:52856 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:13:06] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:52856 | Possível FIN
[2025-04-23 12:13:24] eth:ethertype:ip:tcp 192.7.0.42:54338 -> 3.233.158.26:443 | Possível FIN
[2025-04-23 12:13:24] eth:ethertype:ip:tcp 3.233.158.26:443 -> 192.7.0.42:54338 | Possível FIN
[2025-04-23 12:13:40] eth:ethertype:ip:tcp 192.7.0.42:36592 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 12:13:40] eth:ethertype:ip:tcp 20.201.28.151:443 -> 192.7.0.42:36592 | Possível SYN
[2025-04-23 12:13:40] eth:ethertype:ip:tcp 192.7.0.42:36592 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 12:14:02] eth:ethertype:ip:tcp 192.7.0.42:35654 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:14:02] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:35654 | Possível SYN
[2025-04-23 12:14:02] eth:ethertype:ip:tcp 192.7.0.42:35664 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:14:02] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:35664 | Possível SYN
[2025-04-23 12:14:06] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:14:06] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:14:06] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:14:06] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:14:32] eth:ethertype:ip:tcp 192.7.0.42:34550 -> 107.182.234.156:443 | Possível SYN
[2025-04-23 12:14:32] eth:ethertype:ip:tcp 192.7.0.42:34554 -> 107.182.234.156:443 | Possível SYN
[2025-04-23 12:14:32] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:34550 | Possível SYN
[2025-04-23 12:14:32] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:34554 | Possível SYN
[2025-04-23 12:14:52] eth:ethertype:ip:tcp 192.7.0.42:49632 -> 35.186.238.177:443 | Possível FIN
[2025-04-23 12:14:52] eth:ethertype:ip:tcp 35.186.238.177:443 -> 192.7.0.42:49632 | Possível FIN
[2025-04-23 12:15:00] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:34550 | Possível FIN
[2025-04-23 12:15:00] eth:ethertype:ip:tcp 192.7.0.42:34550 -> 107.182.234.156:443 | Possível FIN
[2025-04-23 12:15:02] eth:ethertype:ip:tcp 192.7.0.42:35654 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:15:02] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:35654 | Possível FIN
[2025-04-23 12:15:03] eth:ethertype:ip:tcp 192.7.0.42:35664 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:15:03] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:35664 | Possível FIN
[2025-04-23 12:15:40] eth:ethertype:ip:tcp 192.7.0.42:46690 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:40] eth:ethertype:ip:tcp 192.7.0.42:46696 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:40] eth:ethertype:ip:tcp 192.7.0.42:46712 -> 13.107.5.93:443 | Possível SYN
